Index,Nome do Repositório,URL,Total de Estrelas,Data de Criação,Total de PRs
93,laravel,https://github.com/laravel/laravel,78455,2011-06-08T03:06:08Z,4803
94,gin,https://github.com/gin-gonic/gin,78342,2014-06-16T23:57:25Z,1607
95,mall,https://github.com/macrozheng/mall,77574,2018-04-04T01:11:44Z,117
96,models,https://github.com/tensorflow/models,77010,2016-02-05T01:15:20Z,3642
97,FiraCode,https://github.com/tonsky/FiraCode,76976,2014-11-11T19:32:38Z,184
98,fastapi,https://github.com/fastapi/fastapi,76436,2018-12-08T08:21:47Z,3353
99,advanced-java,https://github.com/doocs/advanced-java,75820,2018-10-06T11:38:30Z,126
100,awesome-mac,https://github.com/jaywcjlove/awesome-mac,75638,2016-07-17T15:33:47Z,999
101,ChatGPT-Next-Web,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web,75582,2023-03-10T18:27:54Z,2107
102,hugo,https://github.com/gohugoio/hugo,75191,2013-07-04T15:26:26Z,5316
103,spring-boot,https://github.com/spring-projects/spring-boot,74821,2012-10-19T15:02:57Z,6413
104,rustdesk,https://github.com/rustdesk/rustdesk,73929,2020-09-28T15:36:08Z,3462
105,bun,https://github.com/oven-sh/bun,73655,2021-04-14T00:48:17Z,4692
106,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,73599,2012-02-17T14:19:43Z,669
