Index,Título do PR,URL,Data de Criação,Data de Fechamento,Total de Revisões,Decisão da Revisão,Total de Adições,Total de Remoções,Total de Arquivos Alterados,Comprimento da Descrição,Tempo de Análise (horas),Total de Comentários,Total de Participantes
5,Added RandomUser API,https://github.com/public-apis/public-apis/pull/6,2016-03-21T08:14:30Z,2016-03-21T09:53:57Z,0,MERGED,15,10,1,0,1.6575,0,2
6,Yahoo api added,https://github.com/public-apis/public-apis/pull/14,2016-03-21T17:37:27Z,2016-03-22T19:04:26Z,0,MERGED,1,0,1,0,25.44972222222222,0,3
7,Todoapi,https://github.com/public-apis/public-apis/pull/15,2016-03-21T17:48:02Z,2016-03-22T19:04:19Z,0,MERGED,1,0,1,111,25.27138888888889,1,3
8,added https://robohash.org/,https://github.com/public-apis/public-apis/pull/16,2016-03-21T18:17:15Z,2016-03-22T17:32:23Z,0,MERGED,1,0,1,41,23.252222222222223,4,2
9,Add Adorable Avatars (avatars.adorable.io),https://github.com/public-apis/public-apis/pull/19,2016-03-22T00:51:54Z,2016-03-22T09:42:10Z,0,MERGED,1,0,1,100,8.837777777777777,2,3
10,Add MusicBrainz API link,https://github.com/public-apis/public-apis/pull/39,2016-03-22T22:49:13Z,2016-03-23T11:44:15Z,0,MERGED,1,0,1,0,12.917222222222222,0,2
11,Added Washington Metro Transport API,https://github.com/public-apis/public-apis/pull/40,2016-03-22T23:45:26Z,2016-03-23T11:44:22Z,0,MERGED,1,0,1,0,11.982222222222223,0,2
12,"Added Anime Section and Hummingbird, AniList API.",https://github.com/public-apis/public-apis/pull/41,2016-03-23T01:42:09Z,2016-03-23T11:44:35Z,0,MERGED,6,0,1,0,10.040555555555555,0,2
13,Add Transport for Sao Paulo (SPTrans),https://github.com/public-apis/public-apis/pull/42,2016-03-23T04:12:46Z,2016-03-23T17:18:52Z,0,MERGED,1,0,1,0,13.101666666666667,4,3
14,Added Abbreviations and CelebInfo APIs,https://github.com/public-apis/public-apis/pull/43,2016-03-23T05:13:34Z,2016-03-23T11:44:46Z,0,MERGED,7,0,1,0,6.52,0,2
15,UK police data api links added,https://github.com/public-apis/public-apis/pull/44,2016-03-23T08:24:15Z,2016-03-23T11:46:11Z,0,MERGED,6,0,1,568,3.3655555555555554,2,2
16,"Transport for Paris, France API",https://github.com/public-apis/public-apis/pull/45,2016-03-23T08:36:23Z,2016-03-23T12:38:46Z,0,MERGED,1,0,1,62,4.039722222222222,3,2
17,Lorem Ipsum text generator API,https://github.com/public-apis/public-apis/pull/46,2016-03-23T08:38:19Z,2016-03-23T11:46:10Z,0,MERGED,1,0,1,0,3.1308333333333334,0,2
18,Add bike section with JCDecaux API,https://github.com/public-apis/public-apis/pull/47,2016-03-23T08:48:14Z,2016-03-23T11:45:36Z,0,MERGED,7,0,1,29,2.956111111111111,0,2
19,Full contact API added,https://github.com/public-apis/public-apis/pull/48,2016-03-23T08:57:54Z,2016-03-23T11:44:06Z,0,MERGED,6,0,1,248,2.77,0,2
20,UK police data api links added [Again],https://github.com/public-apis/public-apis/pull/51,2016-03-23T14:50:33Z,2016-03-23T17:19:14Z,0,MERGED,6,0,1,568,2.4780555555555557,1,2
21,Both BreweryDB and LCBI needs API-KEY (registered users),https://github.com/public-apis/public-apis/pull/53,2016-03-23T18:11:43Z,2016-03-31T10:24:32Z,0,MERGED,2,2,1,0,184.2136111111111,2,2
1,Fixed typo,https://github.com/jwasham/coding-interview-university/pull/3,2016-10-06T10:08:17Z,2016-10-06T16:40:31Z,1,MERGED,1,1,1,0,6.537222222222222,0,3
2,Fix marked checkbox with ambiguous Markdown link,https://github.com/jwasham/coding-interview-university/pull/4,2016-10-06T14:08:10Z,2016-10-06T16:42:10Z,0,MERGED,1,1,1,744,2.566666666666667,0,2
3,License.md Added,https://github.com/jwasham/coding-interview-university/pull/6,2016-10-06T15:49:06Z,2016-10-06T21:20:55Z,1,MERGED,21,0,1,0,5.530277777777778,1,3
4,Adding more descriptive links.,https://github.com/jwasham/coding-interview-university/pull/9,2016-10-06T19:24:59Z,2016-10-06T21:25:38Z,1,MERGED,87,102,1,116,2.0108333333333333,5,3
5,Fixing Last Typos.,https://github.com/jwasham/coding-interview-university/pull/14,2016-10-07T07:04:16Z,2016-10-07T17:29:59Z,0,MERGED,19,19,1,82,10.428611111111111,0,2
6,Replaced all the [x] with [ ] on a separate branch,https://github.com/jwasham/coding-interview-university/pull/15,2016-10-07T14:53:28Z,2016-10-07T18:11:46Z,0,MERGED,658,658,1,354,3.305,3,3
7,Fixed a minor typo,https://github.com/jwasham/coding-interview-university/pull/16,2016-10-07T14:59:55Z,2016-10-07T17:30:23Z,0,MERGED,1,1,1,0,2.5077777777777777,1,2
8,Added Codewars as a code challenge resource,https://github.com/jwasham/coding-interview-university/pull/17,2016-10-07T15:06:15Z,2016-10-07T17:31:56Z,0,MERGED,1,0,1,38,2.4280555555555554,1,2
9,Pull request with fixed mis-formatted & Go resources,https://github.com/jwasham/coding-interview-university/pull/23,2016-10-09T01:36:16Z,2016-10-09T03:32:02Z,1,MERGED,10,1,2,39,1.9294444444444445,1,3
10,Some fixes on Course video playlist,https://github.com/jwasham/coding-interview-university/pull/29,2016-10-10T07:02:15Z,2016-10-10T16:30:19Z,0,MERGED,7,6,1,382,9.467777777777778,0,2
11,add Chinese version,https://github.com/jwasham/coding-interview-university/pull/31,2016-10-11T11:14:45Z,2016-10-11T16:46:31Z,0,MERGED,1656,0,2,270,5.529444444444445,1,5
12,fix typo,https://github.com/jwasham/coding-interview-university/pull/32,2016-10-11T13:33:49Z,2016-10-11T16:32:22Z,0,MERGED,1,1,1,0,2.9758333333333336,0,2
13,Improve readability of a text chapter,https://github.com/jwasham/coding-interview-university/pull/34,2016-10-13T06:29:40Z,2016-10-13T16:32:37Z,0,MERGED,9,9,1,173,10.049166666666666,1,2
14,Added instructions to How to use?,https://github.com/jwasham/coding-interview-university/pull/35,2016-10-13T15:05:08Z,2016-10-13T16:28:47Z,0,MERGED,18,0,1,151,1.3941666666666668,2,3
15,Adding free resources.,https://github.com/jwasham/coding-interview-university/pull/36,2016-10-14T06:46:35Z,2016-10-14T16:32:44Z,0,MERGED,3,1,1,117,9.769166666666667,2,2
16,Add a tutorial on Udemy.,https://github.com/jwasham/coding-interview-university/pull/38,2016-10-15T16:08:41Z,2016-10-16T02:17:14Z,2,MERGED,3,0,1,153,10.1425,2,2
17,test,https://github.com/jwasham/coding-interview-university/pull/42,2016-10-17T00:01:15Z,2016-10-17T04:12:50Z,0,MERGED,0,0,1,0,4.1930555555555555,0,2
18,Added graph theory and discrete mathematics course's links,https://github.com/jwasham/coding-interview-university/pull/44,2016-10-17T11:16:54Z,2016-10-17T16:24:33Z,0,MERGED,48,44,1,71,5.1275,1,2
19,README.md: fix a typo,https://github.com/jwasham/coding-interview-university/pull/53,2016-10-23T09:04:30Z,2016-10-23T17:36:39Z,0,MERGED,1,1,1,0,8.535833333333333,1,3
20,"Add video ""How to Work at Google: Prepare for an Engineering Interview""",https://github.com/jwasham/coding-interview-university/pull/57,2016-10-28T05:36:55Z,2016-10-28T16:32:28Z,0,MERGED,1,0,1,79,10.925833333333333,1,2
21,_,https://github.com/jwasham/coding-interview-university/pull/61,2016-11-03T23:51:08Z,2016-11-04T00:56:39Z,0,MERGED,8,9,1,0,1.0919444444444444,0,1
1,Add a section for creating a demoscene demo,https://github.com/codecrafters-io/build-your-own-x/pull/4,2018-05-10T10:35:14Z,2018-05-11T08:27:20Z,0,MERGED,22,3,1,236,21.868333333333332,3,2
2,Add OS: Build a minimal multi-tasking kernel for ARM,https://github.com/codecrafters-io/build-your-own-x/pull/7,2018-05-11T02:27:06Z,2018-05-11T07:17:47Z,0,MERGED,1,0,1,0,4.844722222222222,1,2
3,Add PL: Build a self-compiling C compiler for ARM,https://github.com/codecrafters-io/build-your-own-x/pull/8,2018-05-11T02:35:10Z,2018-05-11T07:37:35Z,0,MERGED,1,0,1,0,5.040277777777778,1,2
4,readme: Add my tutorial on shell,https://github.com/codecrafters-io/build-your-own-x/pull/10,2018-05-11T10:08:57Z,2018-05-12T07:55:36Z,3,MERGED,1,0,1,193,21.7775,1,2
5,"Add a minimal interpreter, compiler (x86/Arm) and JIT compiler",https://github.com/codecrafters-io/build-your-own-x/pull/14,2018-05-11T16:52:43Z,2018-05-12T07:58:43Z,0,MERGED,1,0,1,0,15.1,1,2
6,Add: Generate SVG images in C,https://github.com/codecrafters-io/build-your-own-x/pull/16,2018-05-12T08:21:04Z,2018-05-13T10:53:26Z,1,MERGED,1,0,1,0,26.539444444444445,1,2
7,Fix missing linebreak in README.md,https://github.com/codecrafters-io/build-your-own-x/pull/19,2018-05-12T22:40:14Z,2018-05-13T06:52:37Z,0,MERGED,1,1,1,0,8.206388888888888,1,2
8,Fix bad whitespace before bullet in README.md,https://github.com/codecrafters-io/build-your-own-x/pull/21,2018-05-12T23:21:23Z,2018-05-13T06:50:27Z,0,MERGED,3,2,1,0,7.484444444444445,1,2
9,Update README.md,https://github.com/codecrafters-io/build-your-own-x/pull/23,2018-05-13T02:49:07Z,2018-05-13T06:56:34Z,0,MERGED,1,0,1,95,4.1241666666666665,1,2
10,"Add ""Build Your First Smart Contract""",https://github.com/codecrafters-io/build-your-own-x/pull/32,2018-05-13T13:54:06Z,2018-05-13T21:45:40Z,0,MERGED,1,0,1,0,7.859444444444445,1,2
11,"Add ""Build your own Window Manager""",https://github.com/codecrafters-io/build-your-own-x/pull/35,2018-05-13T14:44:31Z,2018-05-14T06:51:54Z,1,MERGED,1,0,1,0,16.123055555555556,1,2
12,Add Bot: Build a Twitter Bot With Java and Twitter4J,https://github.com/codecrafters-io/build-your-own-x/pull/36,2018-05-13T14:53:29Z,2018-05-13T20:21:45Z,0,MERGED,1,0,1,0,5.471111111111111,1,2
13,Added LFS in OS,https://github.com/codecrafters-io/build-your-own-x/pull/37,2018-05-13T14:55:57Z,2018-05-13T22:22:04Z,0,MERGED,2,0,1,241,7.435277777777777,1,2
14,Add Slack bot in Python resource,https://github.com/codecrafters-io/build-your-own-x/pull/38,2018-05-13T15:46:24Z,2018-05-13T20:24:58Z,0,MERGED,1,0,1,48,4.642777777777778,1,2
15,Sort categories in alphabetical order,https://github.com/codecrafters-io/build-your-own-x/pull/39,2018-05-13T15:52:06Z,2018-05-13T20:36:36Z,0,MERGED,11,12,1,59,4.741666666666666,1,2
16,"Add ""table of contents"" to README",https://github.com/codecrafters-io/build-your-own-x/pull/42,2018-05-13T17:54:57Z,2018-05-13T20:44:22Z,0,MERGED,19,0,1,0,2.823611111111111,1,2
17,Add C++ How-To to Cryptocurrency,https://github.com/codecrafters-io/build-your-own-x/pull/47,2018-05-13T23:29:09Z,2018-05-14T17:27:47Z,0,MERGED,1,0,1,0,17.977222222222224,1,2
18,Change 'Crafting Interpreters' to java,https://github.com/codecrafters-io/build-your-own-x/pull/48,2018-05-13T23:38:17Z,2018-05-14T07:06:36Z,0,MERGED,1,1,1,182,7.4719444444444445,1,2
19,Add assets folder,https://github.com/codecrafters-io/build-your-own-x/pull/51,2018-05-13T23:57:44Z,2018-05-14T07:20:27Z,0,MERGED,1,1,2,222,7.378611111111111,1,2
20,adds-build games in python,https://github.com/codecrafters-io/build-your-own-x/pull/55,2018-05-14T07:05:14Z,2018-05-14T18:28:38Z,0,MERGED,1,0,1,0,11.39,1,2
21,Add emulator category and new *how to* tutorials,https://github.com/codecrafters-io/build-your-own-x/pull/58,2018-05-14T10:58:24Z,2018-05-14T17:00:13Z,0,MERGED,11,2,1,1434,6.030277777777778,1,2
22,added 'Build your own CI server' title & one item,https://github.com/codecrafters-io/build-your-own-x/pull/59,2018-05-14T14:37:35Z,2018-05-15T13:35:32Z,3,MERGED,1,0,1,74,22.965833333333332,1,2
23,Update README.md,https://github.com/codecrafters-io/build-your-own-x/pull/61,2018-05-14T16:41:01Z,2018-05-14T17:51:41Z,0,MERGED,1,0,1,87,1.1777777777777778,1,2
24,Update README.md,https://github.com/codecrafters-io/build-your-own-x/pull/63,2018-05-14T17:30:12Z,2018-05-14T18:55:00Z,2,MERGED,2,1,1,19,1.4133333333333333,1,2
25,add article How To Launch Your Own Production-Ready Cryptocurrency,https://github.com/codecrafters-io/build-your-own-x/pull/70,2018-05-14T23:36:04Z,2018-05-15T07:20:56Z,0,MERGED,1,0,1,103,7.747777777777777,1,2
26,Add Programming Blockchains Step-by-Step (Ruby),https://github.com/codecrafters-io/build-your-own-x/pull/71,2018-05-15T11:03:15Z,2018-05-15T13:38:42Z,0,MERGED,1,0,1,0,2.5908333333333333,1,2
27,Add nimdays tutorials,https://github.com/codecrafters-io/build-your-own-x/pull/73,2018-05-15T16:26:15Z,2018-05-15T21:41:32Z,0,MERGED,6,0,1,61,5.254722222222222,1,2
28,Two copy edits,https://github.com/codecrafters-io/build-your-own-x/pull/76,2018-05-16T02:18:13Z,2018-05-16T06:00:52Z,0,MERGED,2,2,1,198,3.7108333333333334,1,2
29,Wording correction,https://github.com/codecrafters-io/build-your-own-x/pull/77,2018-05-16T03:05:49Z,2018-05-16T05:59:46Z,0,MERGED,6,6,1,27,2.8991666666666664,1,2
30,"add ""Create Multiple Platforms Bot in Node.js""",https://github.com/codecrafters-io/build-your-own-x/pull/90,2018-05-18T07:52:17Z,2018-05-18T12:21:47Z,0,MERGED,1,0,1,66,4.491666666666666,1,2
31,Blockchain: replace video-only link with SavjeeCoin,https://github.com/codecrafters-io/build-your-own-x/pull/116,2018-05-21T15:24:17Z,2018-05-22T07:19:31Z,0,MERGED,1,1,1,149,15.920555555555556,1,2
32,Added a New Category : Text Editor,https://github.com/codecrafters-io/build-your-own-x/pull/137,2018-05-24T05:49:20Z,2018-05-24T09:21:06Z,1,MERGED,9,1,1,108,3.5294444444444446,1,3
33,Update README with link about Web Server,https://github.com/codecrafters-io/build-your-own-x/pull/146,2018-05-26T16:12:02Z,2018-05-28T08:32:23Z,0,MERGED,1,0,1,70,40.339166666666664,2,2
34,"Add ""Make Your Own AngularJS""",https://github.com/codecrafters-io/build-your-own-x/pull/147,2018-05-27T01:19:58Z,2018-05-28T08:19:52Z,0,MERGED,1,0,1,0,30.998333333333335,1,2
35,add: build your own module bundler - Minipack,https://github.com/codecrafters-io/build-your-own-x/pull/150,2018-05-27T21:50:28Z,2018-05-28T07:56:03Z,0,MERGED,1,0,1,0,10.093055555555555,1,2
36,Fix typo in minipack's description,https://github.com/codecrafters-io/build-your-own-x/pull/154,2018-05-28T22:02:00Z,2018-05-29T08:35:13Z,0,MERGED,1,1,1,21,10.553611111111111,1,2
37,Adding my open-source Java API,https://github.com/codecrafters-io/build-your-own-x/pull/156,2018-05-29T10:12:23Z,2018-05-30T18:57:27Z,0,MERGED,1,0,1,283,32.75111111111111,1,2
38,"Add create a frontend framework, from scratch, with components",https://github.com/codecrafters-io/build-your-own-x/pull/159,2018-05-29T12:43:05Z,2018-05-30T19:02:34Z,0,MERGED,1,0,1,498,30.32472222222222,1,2
39,Add tutorial #166,https://github.com/codecrafters-io/build-your-own-x/pull/167,2018-05-31T07:08:10Z,2018-06-01T07:50:41Z,0,MERGED,1,0,1,41,24.70861111111111,1,2
1,Renaming: use original titles,https://github.com/kamranahmedse/developer-roadmap/pull/7,2017-03-16T21:13:35Z,2017-03-17T06:14:47Z,0,MERGED,0,0,1,308,9.02,1,2
2,minor changes,https://github.com/kamranahmedse/developer-roadmap/pull/14,2017-03-17T13:50:25Z,2017-03-18T17:57:49Z,0,MERGED,6,6,2,101,28.123333333333335,6,4
3,added WSGI and async frameworks to python section,https://github.com/kamranahmedse/developer-roadmap/pull/22,2017-03-19T07:29:09Z,2017-03-23T04:44:01Z,0,MERGED,0,0,1,0,93.24777777777778,1,2
4,Fix some issues,https://github.com/kamranahmedse/developer-roadmap/pull/25,2017-03-19T13:32:51Z,2017-03-23T05:14:20Z,1,MERGED,2,2,2,141,87.6913888888889,2,4
5,New relic,https://github.com/kamranahmedse/developer-roadmap/pull/45,2017-03-21T20:14:54Z,2017-03-23T05:21:19Z,0,MERGED,1,1,2,104,33.106944444444444,5,4
6,c# expanded .net and .net core,https://github.com/kamranahmedse/developer-roadmap/pull/48,2017-03-22T06:03:50Z,2017-03-23T05:19:21Z,0,MERGED,1,1,2,42,23.25861111111111,2,3
7,added Zend Framework,https://github.com/kamranahmedse/developer-roadmap/pull/59,2017-03-23T17:14:29Z,2017-03-26T04:00:20Z,0,MERGED,1,1,1,69,58.76416666666667,3,4
8,Rename Google App Engine to Google Cloud Platform,https://github.com/kamranahmedse/developer-roadmap/pull/61,2017-03-24T00:58:44Z,2017-03-26T03:56:11Z,0,MERGED,2,2,2,24,50.9575,1,2
9,Added Video Discussing Roadmap in Detail,https://github.com/kamranahmedse/developer-roadmap/pull/63,2017-03-24T02:25:37Z,2017-03-24T07:13:00Z,0,MERGED,6,0,1,131,4.789722222222222,1,2
10,Added several databases,https://github.com/kamranahmedse/developer-roadmap/pull/69,2017-03-24T11:48:44Z,2017-03-26T03:54:45Z,0,MERGED,1,1,1,0,40.10027777777778,1,2
11,Improved DevOps part,https://github.com/kamranahmedse/developer-roadmap/pull/71,2017-03-24T23:57:15Z,2017-03-26T04:03:32Z,0,MERGED,2,3,3,130,28.10472222222222,2,2
12,Added recommended editor/IDEs (Front-end) & python libraries (Backend),https://github.com/kamranahmedse/developer-roadmap/pull/74,2017-03-25T05:24:49Z,2017-03-26T03:53:16Z,0,MERGED,4,4,3,342,22.474166666666665,1,2
13,Small changes in README.md,https://github.com/kamranahmedse/developer-roadmap/pull/79,2017-03-26T06:24:36Z,2017-03-27T02:22:36Z,0,MERGED,5,5,1,0,19.966666666666665,1,2
14,Add Zabbix to DevOps > Monitoring and Alerting,https://github.com/kamranahmedse/developer-roadmap/pull/80,2017-03-26T07:08:30Z,2017-04-01T17:00:42Z,0,MERGED,2,2,2,15,153.87,3,3
15,Make JSON code readable and easier to maintain,https://github.com/kamranahmedse/developer-roadmap/pull/81,2017-03-26T08:38:25Z,2017-03-27T02:21:54Z,0,MERGED,10756,4,4,402,17.724722222222223,1,2
