Index,Título do PR,URL,Data de Criação,Data de Fechamento,Total de Revisões,Decisão da Revisão,Total de Adições,Total de Remoções,Total de Arquivos Alterados,Comprimento da Descrição,Tempo de Análise (horas),Total de Comentários,Total de Participantes
20,Add license disclaimer,https://github.com/donnemartin/system-design-primer/pull/78,2017-05-18T08:42:10Z,2017-05-27T00:34:53Z,1,MERGED,10,0,2,140,207.8786111111111,0,2
21,Fix #79: Inaccuracy in Twitter timeline and search example,https://github.com/donnemartin/system-design-primer/pull/81,2017-05-25T01:47:16Z,2017-05-27T00:31:32Z,1,MERGED,1,1,1,0,46.73777777777778,1,2
1,"Add the legal provisions, 😀",https://github.com/996icu/996.ICU/pull/110,2019-03-27T06:21:02Z,2019-03-27T08:04:40Z,1,MERGED,13,4,1,0,1.7272222222222222,2,4
2,en_US,https://github.com/996icu/996.ICU/pull/242,2019-03-27T07:07:12Z,2019-03-28T02:53:55Z,2,MERGED,16,0,1,19,19.77861111111111,2,4
3,添加了国际五一劳动节的历史渊源，以及国际歌歌词,https://github.com/996icu/996.ICU/pull/324,2019-03-27T07:35:37Z,2019-03-27T15:47:19Z,1,MERGED,78,0,1,23,8.195,4,6
4,Create 加班公司名单,https://github.com/996icu/996.ICU/pull/605,2019-03-27T09:08:15Z,2019-03-28T02:53:22Z,1,MERGED,1,0,1,0,17.751944444444444,6,8
5,blacklist and template,https://github.com/996icu/996.ICU/pull/693,2019-03-27T09:34:09Z,2019-03-28T02:35:14Z,2,MERGED,15,0,1,43,17.018055555555556,0,3
6,当前已知的公司名单,https://github.com/996icu/996.ICU/pull/857,2019-03-27T10:12:11Z,2019-03-28T02:35:36Z,2,MERGED,4,0,1,0,16.39027777777778,7,11
7,fix grammar error,https://github.com/996icu/996.ICU/pull/877,2019-03-27T10:18:17Z,2019-03-27T12:30:13Z,1,MERGED,1,1,1,17,2.198888888888889,0,3
8,fix grammer issue in English version,https://github.com/996icu/996.ICU/pull/932,2019-03-27T10:43:35Z,2019-03-27T14:23:02Z,1,MERGED,1,1,1,17,3.6575,0,2
9,translate “工作 996，生病 ICU” to english version.,https://github.com/996icu/996.ICU/pull/992,2019-03-27T11:06:59Z,2019-03-28T02:43:08Z,7,MERGED,3,0,1,91,15.6025,27,31
10,曝光996公司及部门，欢迎曝光和投票,https://github.com/996icu/996.ICU/pull/1644,2019-03-27T15:14:41Z,2019-03-28T08:05:51Z,1,MERGED,5,0,1,367,16.852777777777778,114,106
11,fix english translation,https://github.com/996icu/996.ICU/pull/1739,2019-03-27T18:29:15Z,2019-03-28T00:45:44Z,2,MERGED,8,7,1,23,6.2747222222222225,1,3
1,Build A Support Ticket Application With AdonisJs,https://github.com/practical-tutorials/project-based-learning/pull/36,2017-07-11T03:56:03Z,2017-07-11T14:07:37Z,1,MERGED,4,0,1,0,10.192777777777778,0,2
2,Added Thinkster.io to Additional Resources,https://github.com/practical-tutorials/project-based-learning/pull/37,2017-07-12T23:53:49Z,2017-07-13T03:41:54Z,1,MERGED,1,0,1,0,3.801388888888889,0,2
3,Added Goodheads.io to Additional Resources,https://github.com/practical-tutorials/project-based-learning/pull/38,2017-07-13T09:37:03Z,2017-07-14T00:41:40Z,1,MERGED,1,0,1,0,15.076944444444445,0,2
